param_swept,param_value,init_method,trustworthiness,triplet_accuracy,knn_preservation,sna,morans_i_max,procrustes_rust_vs_python,procrustes_vs_default,solver_level,wall_time_s
n_neighbors,5,rust_spectral,0.991590776621297,0.7161123784367871,0.34814,0.002064039408866995,0.06319146913504246,0.2685851577787182,0.14372389120019766,1.0,7.066188068012707
n_neighbors,5,python_spectral,0.9916814091273018,0.7205146676271661,0.3488466666666667,0.0020805418719211824,0.05640274249430722,,0.16551298741553594,,6.179794591967948
n_neighbors,5,pca,0.9915851481184947,0.7025253131628447,0.3475466666666667,0.0021554187192118226,0.05718668995058783,,0.07560515549136387,,6.162588248029351
n_neighbors,5,random,0.9912750400320256,0.6076960019209989,0.34670000000000006,0.002044389709906951,0.07542216727136383,,0.9396744589830841,,6.4380581309087574
n_neighbors,10,rust_spectral,0.9899042846411938,0.7228758954656421,0.3359466666666667,0.0020251778872468528,0.05918681794614346,0.2830243915081189,0.03549648026579183,1.0,7.764911651960574
n_neighbors,10,python_spectral,0.9901055586158546,0.7157722015448033,0.33548666666666666,0.0020460864805692393,0.06615388661288776,,0.07653767900164052,,7.041230567032471
n_neighbors,10,pca,0.9901264900595924,0.7022451674870933,0.3354666666666667,0.002184263820470717,0.057110736437398515,,0.03473056855220558,,7.0187296270160004
n_neighbors,10,random,0.9900440152235965,0.6027934525953496,0.33625333333333335,0.002220552818828681,0.10324860532848495,,0.782900296920719,,7.0135653159813955
n_neighbors,15,rust_spectral,0.9894727640239217,0.7160523472205547,0.3241,0.0020499999999999997,0.05767033307226588,0.2995690702256447,7.609440829794497e-31,1.0,8.622134276898578
n_neighbors,15,python_spectral,0.9895909531923424,0.7178532837075279,0.32474000000000003,0.0021184729064039408,0.05961111558046121,,1.271067115646357e-29,,7.835104097030126
n_neighbors,15,pca,0.9895889713006581,0.6903789970784808,0.32526666666666665,0.002078352490421456,0.06399309669484152,,1.4173913276625049e-30,,7.6056792789604515
n_neighbors,15,random,0.9892450569643514,0.6504982590947292,0.32128666666666666,0.0019967980295566507,0.08679258596569747,,2.3861292493940684e-30,,7.6997589219827205
n_neighbors,30,rust_spectral,0.9889679401275805,0.6866570616720695,0.29941999999999996,0.002096305418719212,0.05518522459507373,0.3006524647968094,0.22811407834855257,1.0,9.398453494999558
n_neighbors,30,python_spectral,0.9888470001841713,0.6818345539680634,0.3013133333333333,0.0021399014778325123,0.055367633814573616,,0.22001843000553092,,8.888806767994538
n_neighbors,30,pca,0.9887192824015939,0.6844759274822908,0.3018066666666667,0.002082785987958402,0.06291992332854274,,0.05624047947870628,,8.799522266956046
n_neighbors,30,random,0.9887531427997388,0.6126986032737023,0.29723333333333335,0.0021421729611384786,0.08580925159647751,,0.9767370163514476,,8.756133124930784
n_neighbors,50,rust_spectral,0.9879044096931835,0.697442670188498,0.27815333333333336,0.002150793650793651,0.07078125246530331,0.2789736456865636,0.1887005853377596,1.0,11.442071930039674
n_neighbors,50,python_spectral,0.987984583606227,0.7112298395165486,0.27982,0.0021517515051997812,0.09482724425646535,,0.18477191946022087,,10.571529306005687
n_neighbors,50,pca,0.9880369709305254,0.6836755112658582,0.2795533333333333,0.001965353037766831,0.06130882523245558,,0.13485682749316483,,10.484809082001448
n_neighbors,50,random,0.9883599635246109,0.5989114339456517,0.2782,0.002096551724137931,0.08951607933424324,,0.9891946751442197,,10.84014491806738
n_neighbors,100,rust_spectral,0.9867576548048125,0.6901588826189619,0.24711333333333338,0.0020384510125889435,0.09088495279051435,0.4176256262760164,0.3315038052445617,1.0,15.104516577906907
n_neighbors,100,python_spectral,0.986743556018072,0.6811742105895066,0.24594666666666667,0.002120224411603722,0.08545905376480234,,0.3190561946096096,,14.698441444896162
n_neighbors,100,pca,0.9864801242702675,0.6540401008524432,0.24408666666666667,0.0020266283524904213,0.06361854983522887,,0.402619748036462,,15.45141967991367
n_neighbors,100,random,0.9863166149550738,0.6689278424780886,0.24778000000000003,0.002036535303776683,0.04845253860729856,,0.9422143502046475,,15.490976201021113
min_dist,0.0,rust_spectral,0.9904262183020948,0.7118701724896946,0.3271666666666667,0.0021233990147783255,0.0563263559013319,0.2945638319539537,0.0066943035369092,1.0,8.35752663295716
min_dist,0.0,python_spectral,0.9902757609167753,0.7043662704606395,0.32548,0.002181773399014779,0.05710058692362394,,0.03417847217165002,,8.184049453935586
min_dist,0.0,pca,0.9903546129431025,0.6959018689718653,0.32894666666666666,0.0019970443349753694,0.06484436482108599,,0.02143825245919921,,7.966387602966279
min_dist,0.0,random,0.9904525749223213,0.6260655540881258,0.3285866666666667,0.0021764094143404485,0.11720580162868123,,0.8863454790317038,,7.531363761983812
min_dist,0.01,rust_spectral,0.9901151468377267,0.712150318165446,0.3256,0.002120935960591133,0.054132053443730094,0.30456026198086894,0.006473886895637783,1.0,8.171905550058
min_dist,0.01,python_spectral,0.990214191306672,0.725897466682675,0.3292533333333334,0.002192364532019705,0.056472127111830146,,0.017045840423907117,,7.907321748905815
min_dist,0.01,pca,0.9902673696167853,0.695081442350022,0.32982666666666666,0.0019724137931034485,0.07009815338201288,,0.017960461411216357,,7.456650365027599
min_dist,0.01,random,0.9903780675553774,0.5801816944811302,0.3287466666666667,0.002171483305966064,0.05784626067066945,,0.814255916905951,,7.559268277022056
min_dist,0.1,rust_spectral,0.9894727640239217,0.7160523472205547,0.3241,0.0020499999999999997,0.05767033307226588,0.2995690702256447,7.609440829794497e-31,1.0,7.990719393943436
