perplexity,trustworthiness,triplet_accuracy,knn_preservation,wall_time_s
5,0.9943540115599212,0.6993036378917037,0.426,30.13545515795704
15,0.9956378229928836,0.703565854244207,0.46346000000000004,23.258531455066986
30,0.9959814165914938,0.700984511946212,0.47115333333333326,20.628681436995976
50,0.9958699629147039,0.6975227118101412,0.46170666666666665,19.811267812969163
100,0.9952020006013832,0.6997638772161524,0.4259266666666666,17.97028304694686
