test_name,opt0_s,opt2_s,opt2deps1_s,speedup_opt0_to_opt2
spectral_init_two_points_connected,0.009,0.024,0.021,0.4
comp_d_dense_evd_near_dupes_100,0.146,0.023,0.054,6.3
test_epsilon_bridge_valid_embedding,0.025,0.023,0.017,1.1
sinv_eigenvalue_accuracy_blobs_50,0.085,0.018,0.025,4.7
comp_a_degrees_rust_native_blobs_5000,0.033,0.017,0.012,1.9
sinv_residual_quality_blobs_500,0.009,0.017,0.024,0.5
test_star_valid_embedding,0.022,0.017,0.016,1.3
test_barbell_separates_communities,0.028,0.016,0.021,1.8
comp_b_laplacian_matches_python_blobs_connected_2000,0.096,0.016,0.035,6.0
test_complete_bipartite_coordinate_stability,0.019,0.016,0.014,1.2
test_path_valid_embedding,0.169,0.016,0.021,10.6
test_epsilon_bridge_separates_communities,0.018,0.015,0.015,1.2
spectral_init_synthetic_disconnected_preserves_component_structure,0.005,0.015,0.004,0.3
test_ring_valid_embedding,0.164,0.014,0.033,11.7
comp_a_degrees_rust_native_circles_300,0.013,0.014,0.029,0.9
comp_a_degrees_matches_python_blobs_connected_2000,0.035,0.014,0.017,2.5
test_complete_bipartite_valid_embedding,0.017,0.013,0.021,1.3
test_complete_k20_valid_embedding,0.016,0.013,0.024,1.2
comp_a_degrees_matches_python_blobs_5000,0.04,0.012,0.015,3.3
solvers::dense::tests::dense_evd_trivial_2x2,0.008,0.012,0.015,0.7
config_tests::python_compat_and_rust_native_same_subspace,0.009,0.012,0.018,0.7
test_lollipop_valid_embedding,0.026,0.012,0.02,2.2
test_star_coordinate_stability,0.024,0.012,0.013,2.0
test_barbell_valid_embedding,0.025,0.012,0.012,2.1
comp_e_selection_matches_python_blobs_connected_2000,0.025,0.011,0.057,2.3
solvers::sinv::tests::sinv_solve_eigenvectors_orthonormal,0.058,0.011,0.01,5.3
solvers::lobpcg::tests::lobpcg_solve_rr_achieves_tight_residuals,0.013,0.011,0.024,1.2
comp_b_laplacian_matches_python_blobs_50,0.014,0.011,0.015,1.3
solvers::lobpcg::tests::lobpcg_solve_level2_eigenvalues_corrected,0.009,0.01,0.014,0.9
comp_a_degrees_rust_native_blobs_connected_200,0.007,0.01,0.008,0.7
comp_b_laplacian_matches_python_blobs_500,0.028,0.01,0.01,2.8
solvers::lobpcg::tests::lobpcg_solve_returns_k_plus_one_eigenpairs,0.083,0.01,0.015,8.3
test_level_0_dense_evd_for_small_n,0.008,0.01,0.02,0.8
solvers::tests::solve_eigenproblem_returns_k_plus_one_pairs,0.012,0.01,0.012,1.2
solvers::lobpcg::tests::rayleigh_ritz_refine_exact_eigenvectors_diagonal,0.013,0.01,0.014,1.3
sinv_residual_quality_blobs_50,0.02,0.01,0.008,2.0
comp_e_selection_matches_python_circles_300,0.009,0.01,0.017,0.9
solvers::lobpcg::tests::rayleigh_ritz_refine_rotated_basis_recovers_eigenvalues,0.008,0.009,0.024,0.9
comp_a_degrees_rust_native_disconnected_200,0.007,0.009,0.017,0.8
sinv_residual_quality_blobs_5000,0.01,0.009,0.011,1.1
multi_component::tests::test_embed_disconnected_intracomp_lt_intercomp,0.01,0.009,0.01,1.1
solvers::sinv::tests::sinv_solve_diagonal_eigenvalues_accurate,0.011,0.009,0.011,1.2
operator::tests::test_spmv_diagonal_matrix,0.005,0.009,0.013,0.6
multi_component::tests::test_extract_subgraph_two_components,0.005,0.009,0.01,0.6
solvers::rsvd::tests::test_rsvd_solve_residuals_ring_6,0.011,0.009,0.014,1.2
solvers::lobpcg::tests::lobpcg_solve_eigenvectors_orthonormal,0.011,0.009,0.009,1.2
solvers::lobpcg::tests::lobpcg_injects_trivial_eigenvector,0.045,0.009,0.021,5.0
tests::spectral_init_connected_graph_succeeds_and_has_correct_shape,0.009,0.008,0.012,1.1
comp_e_selection_matches_python_moons_200,0.013,0.008,0.006,1.6
config_tests::spectral_init_with_default_config_compiles_and_runs,0.008,0.008,0.019,1.0
solvers::tests::level0_result_passes_dense_evd_quality_gate,0.009,0.008,0.012,1.1
solvers::dense::tests::dense_evd_truncation_k_less_than_n,0.011,0.008,0.032,1.4
comp_b_laplacian_matches_python_near_dupes_100,0.009,0.008,0.018,1.1
solvers::sinv::tests::sinv_solve_returns_k_plus_one_pairs,0.057,0.008,0.016,7.1
sinv_eigenvalue_accuracy_blobs_5000,0.031,0.007,0.016,4.4
solvers::dense::tests::dense_evd_identity_3x3,0.012,0.007,0.014,1.7
solvers::lobpcg::tests::lobpcg_solve_restart_count_zero_on_easy_convergence,0.008,0.007,0.024,1.1
solvers::lobpcg::tests::lobpcg_solve_diagonal_level1,0.009,0.007,0.044,1.3
solvers::rsvd::tests::test_two_i_minus_laplacian_path_3,0.006,0.007,0.009,0.9
multi_component::tests::test_orthogonal_meta_embedding_4_comp_2_dim,0.005,0.007,0.008,0.7
tests::spectral_init_too_few_nodes_returns_error,0.005,0.007,0.01,0.7
selection::tests::sorts_before_skipping_trivial,0.004,0.006,0.008,0.7
solvers::rsvd::tests::test_rsvd_solve_shapes_complete_5,0.014,0.006,0.009,2.3
components::tests::test_three_isolated_nodes,0.005,0.006,0.015,0.8
operator::tests::test_spmv_matches_dense_reference,0.004,0.006,0.008,0.7
comp_a_degrees_rust_native_blobs_connected_2000,0.018,0.006,0.016,3.0
comp_a_degrees_matches_python_blobs_50,0.016,0.006,0.008,2.7
solvers::sinv::tests::sprs_csc_to_faer_shifted_diagonal,0.005,0.006,0.009,0.8
solvers::lobpcg::tests::rayleigh_ritz_refine_perturbed_eigenvectors,0.007,0.006,0.009,1.2
comp_b_laplacian_matches_python_circles_300,0.015,0.006,0.02,2.5
solvers::tests::solve_eigenproblem_eigenvalues_nonneg_and_sorted,0.013,0.006,0.014,2.2
solvers::tests::dense_n_threshold_falls_back_on_parse_error,0.01,0.006,0.004,1.7
solvers::tests::sinv_quality_threshold_ordering,0.006,0.006,0.007,1.0
selection::tests::selects_correct_columns_sorted_input,0.008,0.006,0.006,1.3
solvers::dense::tests::dense_evd_k_greater_than_n_returns_error,0.004,0.006,0.015,0.7
comp_a_degrees_matches_python_near_dupes_100,0.007,0.006,0.015,1.2
operator::tests::test_csr_operator_residual_diagonal,0.005,0.006,0.009,0.8
comp_a_degrees_matches_python_moons_200,0.011,0.005,0.008,2.2
solvers::sinv::tests::sprs_csc_to_faer_identity_roundtrip,0.004,0.005,0.007,0.8
comp_a_degrees_matches_python_disconnected_200,0.011,0.005,0.015,2.2
comp_b_laplacian_matches_python_disconnected_200,0.016,0.005,0.013,3.2
solvers::lobpcg::tests::per_vector_residuals_exact_near_zero,0.004,0.005,0.014,0.8
large_ring_laplacian_shape_and_nnz,0.005,0.005,0.009,1.0
components::tests::test_two_isolated_nodes,0.004,0.005,0.021,0.8
comp_a_degrees_rust_native_near_dupes_100,0.01,0.005,0.02,2.0
test_single_edge_returns_too_few_nodes,0.006,0.005,0.011,1.2
laplacian::tests::build_laplacian_symmetry,0.005,0.005,0.024,1.0
solvers::tests::max_eigenpair_residual_trivial_near_zero,0.006,0.005,0.014,1.2
comp_a_degrees_matches_python_blobs_500,0.015,0.005,0.005,3.0
operator::tests::test_spmv_matches_csr_operator_single_vector,0.004,0.005,0.005,0.8
multi_component::tests::test_orthogonal_meta_embedding_1_comp_3_dim,0.004,0.005,0.005,0.8
comp_b_laplacian_matches_python_moons_200,0.015,0.005,0.017,3.0
comp_a_degrees_matches_python_blobs_connected_200,0.014,0.005,0.01,2.8
comp_b_laplacian_matches_python_blobs_connected_200,0.016,0.005,0.016,3.2
multi_component::tests::test_embed_disconnected_two_pairs_shape_and_finite,0.005,0.005,0.01,1.0
solvers::tests::dense_n_threshold_returns_default_when_env_unset,0.005,0.005,0.007,1.0
components::tests::test_two_components_four_nodes,0.006,0.005,0.029,1.2
laplacian::tests::compute_degrees_python_compat_matches_column_sum,0.004,0.004,0.011,1.0
comp_a_degrees_rust_native_moons_200,0.008,0.004,0.004,2.0
solvers::tests::max_eigenpair_residual_large_for_non_eigenvector,0.007,0.004,0.005,1.8
laplacian::tests::build_laplacian_isolated_node,0.005,0.004,0.02,1.2
config_tests::default_config_is_python_compat,0.004,0.004,0.019,1.0
multi_component::tests::test_orthogonal_meta_embedding_2_comp_2_dim,0.005,0.004,0.01,1.2
comp_a_degrees_rust_native_blobs_500,0.014,0.004,0.017,3.5
components::tests::test_path_graph_3,0.005,0.004,0.019,1.2
solvers::lobpcg::tests::per_vector_residuals_non_eigenvector_large,0.005,0.004,0.009,1.2
comp_a_degrees_matches_python_circles_300,0.009,0.004,0.014,2.2
components::tests::test_two_connected_nodes,0.004,0.004,0.019,1.0
solvers::lobpcg::tests::chebyshev_precond_degree1_matches_formula,0.006,0.004,0.007,1.5
multi_component::tests::test_embed_disconnected_tiny_components_placed_at_meta_pos,0.005,0.004,0.01,1.2
config_tests::compute_mode_rust_native_neq_python_compat,0.006,0.004,0.019,1.5
solvers::tests::lobpcg_quality_threshold_is_1e5,0.006,0.004,0.01,1.5
solvers::tests::quality_gate_catches_garbage_at_dense_evd_threshold,0.009,0.004,0.007,2.2
solvers::tests::threshold_ordering_is_strict,0.004,0.004,0.005,1.0
smoke_load_comp_a_degrees_blobs_connected_200,0.005,0.004,0.006,1.2
solvers::lobpcg::tests::lobpcg_accept_tol_is_1e5,0.005,0.004,0.015,1.2
components::tests::test_empty_graph,0.008,0.004,0.008,2.0
selection::tests::selects_single_nontrivial_eigenvector,0.008,0.004,0.005,2.0
tests::spectral_init_empty_graph_returns_error,0.008,0.004,0.006,2.0
laplacian::tests::compute_degrees_rust_native_uses_f64_row_sum,0.005,0.004,0.008,1.2
comp_a_degrees_rust_native_blobs_50,0.01,0.004,0.007,2.5
solvers::sinv::tests::sinv_returns_none_for_empty_or_degenerate,0.004,0.004,0.007,1.0
components::tests::test_single_node_no_edges,0.004,0.004,0.009,1.0
laplacian::tests::build_laplacian_weighted_edge,0.005,0.004,0.015,1.2
laplacian::tests::compute_degrees_zero_degree_node,0.004,0.004,0.01,1.0
config_tests::compute_mode_copy_clone_eq,0.004,0.004,0.024,1.0
large_ring_laplacian_diagonal_is_one,0.005,0.004,0.016,1.2
multi_component::tests::test_extract_subgraph_single_node,0.005,0.004,0.005,1.2
solvers::sinv::tests::eigenvalue_recovery_formula_exact,0.004,0.004,0.019,1.0
solvers::tests::quality_gate_accepts_near_eigenvector_at_lobpcg_threshold,0.004,0.004,0.012,1.0
laplacian::tests::build_laplacian_two_node_complete_graph,0.004,0.004,0.02,1.0
large_epsilon_bridge_laplacian_shape_and_symmetry,0.007,0.004,0.005,1.8
operator::tests::test_spmv_identity_matrix,0.004,0.004,0.013,1.0
solvers::lobpcg::tests::chebyshev_precond_filters_high_eigenvalues,0.006,0.004,0.014,1.5
tests::spectral_error_is_std_error,0.006,0.004,0.009,1.5
config_tests::compute_mode_variants_exhaustive,0.006,0.004,0.024,1.5
operator::tests::test_csr_operator_single_vector,0.005,0.004,0.009,1.2
solvers::tests::dense_n_threshold_reads_env_override,0.006,0.004,0.005,1.5
tests::spectral_init_zero_components_returns_error,0.006,0.003,0.005,2.0
operator::tests::test_csr_operator_block_matches_sequential,0.005,0.003,0.006,1.7
