fixture,method,nbiter,p,residual,ortho_error,wall_time_us,spectral_gap,passes
blobs_5000,2il,4,100,6.922001e-2,2.001422e-15,2129350,2.012950e-3,false
blobs_5000,2il,5,20,6.763033e-2,3.899203e-15,678093,5.987862e-3,false
blobs_5000,2il,5,30,6.647520e-2,1.837407e-15,1190249,3.887682e-3,false
blobs_5000,2il,5,50,6.469941e-2,3.114131e-15,1515878,1.141979e-3,false
blobs_5000,2il,5,100,5.589006e-2,3.894760e-15,2390257,2.358724e-3,false
blobs_5000,2il,6,20,6.128251e-2,1.031369e-15,825865,5.070821e-3,false
blobs_5000,2il,6,30,5.626362e-2,1.964577e-15,1330941,3.580118e-3,false
blobs_5000,2il,6,50,5.416616e-2,2.527140e-15,2006203,7.701860e-4,false
blobs_5000,2il,6,100,4.811174e-2,4.654758e-15,2638758,2.828562e-3,false
blobs_5000,2il,8,20,4.801035e-2,1.071266e-15,1463658,2.874358e-3,false
blobs_5000,2il,8,30,4.416034e-2,2.346116e-15,1393694,2.703218e-3,false
blobs_5000,2il,8,50,4.366763e-2,2.990878e-15,2126545,7.282737e-4,false
blobs_5000,2il,8,100,3.583404e-2,3.110251e-15,3816298,3.134804e-3,false
blobs_5000,2il,10,20,3.926146e-2,1.911651e-15,1398640,1.677607e-3,false
blobs_5000,2il,10,30,3.738477e-2,2.001284e-15,1618909,1.720125e-3,false
blobs_5000,2il,10,50,3.490464e-2,1.031956e-15,2356770,4.557913e-4,false
blobs_5000,2il,10,100,2.909992e-2,1.795893e-15,4569965,2.370365e-3,false
blobs_5000,direct_l,2,20,1.523783e-1,2.065625e-15,162302,1.851243e-3,false
blobs_5000,direct_l,2,30,1.546627e-1,5.122880e-15,565418,1.109252e-2,false
blobs_5000,direct_l,2,50,1.486255e-1,2.808970e-15,516270,8.123064e-3,false
blobs_5000,direct_l,2,100,1.421689e-1,3.420897e-15,968276,3.320683e-3,false
blobs_5000,direct_l,3,20,1.057319e-1,2.315143e-15,266833,4.247312e-3,false
blobs_5000,direct_l,3,30,1.023511e-1,1.911077e-15,674147,5.921064e-3,false
blobs_5000,direct_l,3,50,1.030722e-1,1.815028e-15,862551,4.137076e-3,false
blobs_5000,direct_l,3,100,9.409565e-2,3.578390e-15,1599233,2.169356e-3,false
blobs_5000,direct_l,4,20,8.212281e-2,5.074270e-16,542494,5.386712e-3,false
blobs_5000,direct_l,4,30,8.028416e-2,2.171203e-15,523085,4.458198e-3,false
blobs_5000,direct_l,4,50,8.025671e-2,7.992088e-16,742825,2.254956e-3,false
blobs_5000,direct_l,4,100,6.922001e-2,2.104801e-15,1817508,2.012950e-3,false
blobs_5000,direct_l,5,20,6.763033e-2,1.887415e-15,439310,5.987862e-3,false
blobs_5000,direct_l,5,30,6.647520e-2,2.987330e-15,1305479,3.887682e-3,false
blobs_5000,direct_l,5,50,6.469941e-2,2.305505e-15,849162,1.141979e-3,false
blobs_5000,direct_l,5,100,5.589006e-2,2.156580e-15,1695830,2.358724e-3,false
blobs_5000,direct_l,6,20,6.128251e-2,2.319577e-15,509681,5.070821e-3,false
